기관코드,검사코드,검사명,기기회사,기기,시약회사,시약,검사방법,CCA-25-04,CCA-25-05,CCA-25-06
LAB_001,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,56.51,735.06,5729.48
LAB_002,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,45.7,472.3,1906.1
LAB_003,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,50.1,520.1,1923.2
LAB_004,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,48.4,725.2,5960.0
LAB_005,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,47.7,546.6,1852.3
LAB_006,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,44.7,390.6,1867.9
LAB_007,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,30.0,370.1,1666.4
LAB_008,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,49.7,558.3,2117.2
LAB_009,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,30.103,376.816,1662.434
LAB_010,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,52.22,734.08,5723.47
LAB_011,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,32.0,404.0,1721.0
LAB_012,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,58.64,779.39,5775.5
LAB_013,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,45.0,503.0,1821.0
LAB_014,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,39.0,501.0,1899.0
LAB_015,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,31.0,372.0,1722.0
LAB_016,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i2000,,,,55.4,602.3,2005.2
LAB_017,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,51.44,689.65,5668.37
LAB_018,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,54.44,684.72,5825.29
LAB_019,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,33.2,394.7,1672.5
LAB_020,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,52.76,751.31,5688.17
LAB_021,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,56.95,774.17,6023.517
LAB_022,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,58.0,782.0,6127.0
LAB_023,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,52.0,539.0,1945.0
LAB_024,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,43.5,525.5,1907.0
LAB_025,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,32.8,398.0,1738.7
LAB_026,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,47.8,531.5,2019.5
LAB_027,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i2000,,,,59.0,620.0,2200.0
LAB_028,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,30.3,366.8,1640.9
LAB_029,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,32.8,387.0,1523.1
LAB_030,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i2000,,,,58.1,609.8,2138.6
LAB_031,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,48.0,532.0,1986.0
LAB_032,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,49.0,521.0,1921.0
LAB_033,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,52.22,727.58,5902.78
LAB_034,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,33.1,383.5,1594.4
LAB_035,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,30.0,360.0,1500.0
LAB_036,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,47.9,532.2,1851.9
LAB_037,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,47.2,527.7,1910.0
LAB_038,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,51.0,720.0,5719.0
LAB_039,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,49.4,489.5,1838.8
LAB_040,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,46.8,535.9,1987.0
LAB_041,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i2000,,,,48.5,513.3,1886.8
LAB_042,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,59.0,787.0,6271.0
LAB_043,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,50.0,520.0,1914.0
LAB_044,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,49.2,547.7,1885.3
LAB_045,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,47.0,515.0,1925.0
LAB_046,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,ADVIA Centaur® XPT Immunoassay System,,,,0.0,0.802,5.985
LAB_047,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i2000,,,,50.4,549.2,1940.5
LAB_048,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,42.4,489.9,1960.6
LAB_049,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1300 Analyzer,,,,55.46,705.55,5690.07
LAB_050,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,53.14,716.39,5873.8
LAB_051,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1300 Analyzer,,,,56.0,778.0,5943.0
LAB_052,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i2000,,,,54.0,589.0,2142.0
LAB_053,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,31.8,389.5,1835.8
LAB_054,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,59.0,809.0,6154.0
LAB_055,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,57.71,764.16,5952.77
LAB_056,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,31.3,360.7,1655.7
